|trial_drug_cleaned|disease_type|drug_outcome|nct_id|pcd|enrollment|actual_duration|number_of_primary_outcomes_to_measure|number_of_secondary_outcomes_to_measure|number_of_arms|adult|child|has_single_facility|has_us_facility|healthy_volunteers|gender_f|gender_m|minimum_age_num|maximum_age_num|number_of_facilities|Spacy_Pregnant_Women_Excluded|LLama3_2_Criteria_Robustness|LLM_GBT_4o_Human_Importance_Ratings|days_since_first_start|cumsum_enrollment|cumavg_enrollment|cumsum_trial_duration|cumavg_trial_duration|cumulative_number_of_primary_outcomes_to_measure|cumulative_number_of_secondary_outcomes_to_measure|cumulative_number_of_arms|cumulative_adult|cumulative_child|cumulative_single_facility|cumulative_us_facility|cumulative_healthy_volunteers|cumulative_gender_f|cumulative_gender_m|cumulative_min_age|cumulative_max_age|cumulative_number_of_facilities|cumulative_Spacy_Pregnant_Women_Excluded|cumulative_LLama3_2_Criteria_Robustness|cumulative_LLM_GPT_4o_Human_Importance_Ratings|pair_trial_seq|new_therapy_area_Autoimmune|new_therapy_area_Bone|new_therapy_area_Cardiovascular|new_therapy_area_Dermatology|new_therapy_area_Endocrinology|new_therapy_area_Gastrointestinal|new_therapy_area_Genetic and Rare Diseases|new_therapy_area_Hematology|new_therapy_area_Hepatic diseases|new_therapy_area_Infections (bacterial)|new_therapy_area_Infections (viral)|new_therapy_area_Infectious Diseases|new_therapy_area_Metabolic disorders|new_therapy_area_Neurology|new_therapy_area_Neuroscience (non-progressive)|new_therapy_area_Oncology|new_therapy_area_Ophthalmology|new_therapy_area_Other|new_therapy_area_Pain|new_therapy_area_Progressive neurological disorders|new_therapy_area_Psychiatry and Mental Health|new_therapy_area_Respiratory|new_therapy_area_Rheumatology|new_therapy_area_Urology and Reproductive Health
24288|c16g2|Other Infection|0|NCT03196219|2017-11-22|20.0||2.0|1.0|4.0|1|1|1|1|1|1|1|12.0|75.0|1.0|0.0|0.0|0.0|1134|136.0|45.333333333333336|15.0|7.5|4.0|11.0|18.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|12.0|75.0|5.0|0.0|0.0|0.0|3.0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
14681|canagliflozin|Obesity|1|NCT02243202|2015-06-30|335.0|9.0|1.0|3.0|4.0|1|0|0|1|0|1|1|18.0|65.0|17.0|0.0|2.0|0.0|288|335.0|335.0|9.0|9.0|1.0|3.0|4.0|1.0|0.0|0.0|1.0|0.0|1.0|1.0|18.0|65.0|17.0|0.0|2.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
638|candesartan|Hypertension|1|NCT00282178|2006-03-31|26.0|11.0|1.0|10.0|3.0|1|0|1|0|0|1|1|18.0|70.0|1.0|0.0|2.0|0.0|350|26.0|26.0|11.0|11.0|1.0|10.0|3.0|1.0|0.0|1.0|0.0|0.0|1.0|1.0|18.0|70.0|1.0|0.0|2.0|0.0|1.0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
637|candesartan|Hypertension|1|NCT00605072|2011-12-31|53.0|47.0|3.0|2.0|3.0|1|0|0|1|0|1|1|60.0|99.0|2.0|0.0|0.0|0.0|2451|79.0|39.5|58.0|29.0|4.0|12.0|6.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|2.0|0.0|2.0|0.0|2.0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
636|candesartan|Hypertension|1|NCT01984164|2018-12-03|176.0||2.0|6.0|2.0|1|0|1|1|0|1|1|55.0|99.0|1.0|0.0|0.0|0.0|4980|255.0|85.0|58.0|29.0|6.0|18.0|8.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|2.0|0.0|2.0|0.0|3.0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
641|candesartan|Obesity|1|NCT00282178|2006-03-31|26.0|11.0|1.0|10.0|3.0|1|0|1|0|0|1|1|18.0|70.0|1.0|0.0|0.0|0.0|350|26.0|26.0|11.0|11.0|1.0|10.0|3.0|1.0|0.0|1.0|0.0|0.0|1.0|1.0|18.0|70.0|1.0|0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
18378|candesartan|Other Heart Disease/Failure|1|NCT01434134|2014-09-30|130.0|36.0|1.0|7.0|4.0|1|0|1|0|0|1|0|18.0|70.0|1.0|0.0|2.0|2.0|1111|130.0|130.0|36.0|36.0|1.0|7.0|4.0|1.0|0.0|1.0|0.0|0.0|1.0|0.0|18.0|70.0|1.0|0.0|2.0|2.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
22240|cangrelor|Acute Coronary Syndromes|1|NCT00767507|2011-06-30|221.0|32.0|2.0|4.0|2.0|1|0|1|1|0|1|1|18.0|90.0|1.0|0.0|2.0|1.0|988|221.0|221.0|32.0|32.0|2.0|4.0|2.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|90.0|1.0|0.0|2.0|1.0|1.0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
15024|cangrelor|Coronary Artery Disease|1|NCT01766466|2013-02-28|12.0|0.0|3.0|0.0|4.0|1|0|1|1|0|1|1|18.0|75.0|1.0|0.0|2.0|1.0|44|12.0|12.0|0.0|0.0|3.0|0.0|4.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|75.0|1.0|0.0|2.0|1.0|1.0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
15023|cangrelor|Coronary Artery Disease|1|NCT01852019|2013-07-31|12.0|1.0|2.0|3.0|5.0|1|0|1|1|0|1|1|18.0|75.0|1.0|0.0|0.0|0.0|197|24.0|12.0|1.0|0.5|5.0|3.0|9.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|75.0|1.0|0.0|2.0|1.0|2.0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
1474|capecitabine|Breast|1|NCT00006108|2001-09-30||25.0|1.0|0.0|1.0|1|0|1|1|0|1|1|18.0|59.0|1.0|1.0|2.0|2.0|1173|||25.0|25.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|59.0|1.0|1.0|2.0|2.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1475|capecitabine|Breast|1|NCT00005649|2002-07-04||47.0|1.0|0.0|1.0|1|0|1|1|0|1|0|18.0|75.0|1.0|1.0|0.0|2.0|1450|||72.0|36.0|2.0|0.0|2.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|75.0|1.0|1.0|2.0|2.0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1476|capecitabine|Breast|1|NCT00031876|2004-09-30|34.0|52.0|1.0|0.0|1.0|1|0|0|0|0|1|1|18.0|64.0|2.0|0.0|2.0|1.0|2269|34.0|34.0|124.0|41.333333333333336|3.0|0.0|3.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|75.0|2.0|1.0|2.0|2.0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1597|capecitabine|Breast|1|NCT00003902|2004-12-31|110.0|70.0|3.0|2.0|1.0|0|0|1|0|0|1|0|65.0|99.0|1.0|0.0|2.0|1.0|2361|144.0|72.0|194.0|48.5|6.0|2.0|4.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|2.0|1.0|2.0|2.0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1443|capecitabine|Breast|1|NCT00088998|2006-08-31|46.0|20.0|1.0|2.0|1.0|1|0|0|0|0|1|1|18.0|99.0|1.0|0.0|0.0|0.0|2969|190.0|63.333333333333336|214.0|42.8|7.0|4.0|5.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|2.0|1.0|2.0|2.0|5.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1518|capecitabine|Breast|1|NCT00227656|2006-11-30|2.0|14.0|1.0|4.0|1.0|1|0|0|1|0|1|1|18.0|99.0|4.0|1.0|2.0|2.0|3060|192.0|48.0|228.0|38.0|8.0|8.0|6.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|4.0|1.0|2.0|2.0|6.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1526|capecitabine|Breast|1|NCT00265733|2007-08-31|48.0|18.0|1.0|2.0|1.0|1|0|0|0|0|1|1|18.0|99.0|1.0|1.0|2.0|1.0|3334|240.0|48.0|246.0|35.142857142857146|9.0|10.0|7.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|4.0|1.0|2.0|2.0|7.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1445|capecitabine|Breast|1|NCT00365417|2008-02-29|45.0|18.0|1.0|7.0|1.0|1|0|1|1|0|1|0|18.0|99.0|1.0|0.0|0.0|0.0|3516|285.0|47.5|264.0|33.0|10.0|17.0|8.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|4.0|1.0|2.0|2.0|8.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1529|capecitabine|Breast|1|NCT00107276|2008-03-31|112.0|31.0|1.0|2.0|1.0|1|0|0|1|0|1|0|18.0|99.0|145.0|1.0|2.0|1.0|3547|397.0|56.714285714285715|295.0|32.77777777777778|11.0|19.0|9.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|145.0|1.0|2.0|2.0|9.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1534|capecitabine|Breast|1|NCT00107393|2008-05-31|75.0|59.0|1.0|4.0|1.0|1|0|0|0|0|1|0|20.0|75.0|10.0|1.0|2.0|2.0|3608|472.0|59.0|354.0|35.4|12.0|23.0|10.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|145.0|1.0|2.0|2.0|10.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1571|capecitabine|Breast|1|NCT00093808|2008-12-31|47.0|52.0|1.0|3.0|1.0|1|0|0|1|0|1|1|18.0|99.0|147.0|1.0|2.0|1.0|3822|519.0|57.666666666666664|406.0|36.90909090909091|13.0|26.0|11.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|147.0|1.0|2.0|2.0|11.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1593|capecitabine|Breast|1|NCT00087152|2008-12-31|27.0|54.0|1.0|2.0|1.0|1|0|0|0|0|1|0|18.0|99.0|1.0|1.0|2.0|1.0|3822|546.0|54.6|460.0|38.333333333333336|14.0|28.0|12.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|147.0|1.0|2.0|2.0|11.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1572|capecitabine|Breast|1|NCT00434941|2009-01-31|1.0|16.0|1.0|1.0|1.0|1|0|0|0|0|1|0|18.0|70.0|7.0|1.0|2.0|1.0|3853|547.0|49.72727272727273|476.0|36.61538461538461|15.0|29.0|13.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|147.0|1.0|2.0|2.0|13.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1573|capecitabine|Breast|1|NCT00437294|2009-03-31|86.0|24.0|1.0|8.0|2.0|1|0|0|0|0|1|0|18.0|99.0|20.0|1.0|2.0|1.0|3912|633.0|52.75|500.0|35.714285714285715|16.0|37.0|15.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|147.0|1.0|2.0|2.0|14.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1598|capecitabine|Breast|1|NCT00327743|2009-03-31|34.0|31.0|1.0|1.0|1.0|1|0|0|1|0|1|0|18.0|99.0|2.0|1.0|2.0|1.0|3912|667.0|51.30769230769231|531.0|35.4|17.0|38.0|16.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|147.0|1.0|2.0|2.0|14.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1450|capecitabine|Breast|1|NCT00130507|2009-06-30|14.0||1.0|5.0|2.0|1|0|1|0|0|1|0|18.0|70.0|1.0|0.0|0.0|0.0|4003|681.0|48.642857142857146|531.0|35.4|18.0|43.0|18.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|147.0|1.0|2.0|2.0|16.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1444|capecitabine|Breast|1|NCT00665457|2009-07-31|3.0||2.0|0.0|1.0|1|0|1|1|0|1|0|19.0|120.0|1.0|0.0|0.0|0.0|4034|684.0|45.6|531.0|35.4|20.0|43.0|19.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|147.0|1.0|2.0|2.0|17.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1446|capecitabine|Breast|1|NCT00209092|2009-07-31|51.0|35.0|1.0|1.0|2.0|1|0|0|1|0|1|0|18.0|99.0|19.0|0.0|0.0|0.0|4034|735.0|45.9375|566.0|35.375|21.0|44.0|21.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|147.0|1.0|2.0|2.0|17.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1525|capecitabine|Breast|1|NCT00562718|2009-09-30|50.0||1.0|2.0|1.0|1|0|1|1|0|1|0|18.0|120.0|1.0|1.0|2.0|1.0|4095|785.0|46.1764705882353|566.0|35.375|22.0|46.0|22.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|147.0|1.0|2.0|2.0|19.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1472|capecitabine|Breast|1|NCT00270491|2009-10-31|130.0|46.0|1.0|4.0|1.0|1|0|1|0|0|1|0|18.0|99.0|1.0|1.0|2.0|0.0|4126|915.0|50.833333333333336|612.0|36.0|23.0|50.0|23.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|147.0|1.0|2.0|2.0|20.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1477|capecitabine|Breast|1|NCT00496366|2009-12-31|11.0||1.0|1.0|1.0|1|0|0|1|0|1|0|18.0|99.0|2.0|1.0|2.0|2.0|4187|926.0|48.73684210526316|612.0|36.0|24.0|51.0|24.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|147.0|1.0|2.0|2.0|21.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1596|capecitabine|Breast|1|NCT00274768|2009-12-31|26.0|69.0|1.0|5.0|1.0|1|0|0|1|0|1|1|18.0|99.0|3.0|1.0|2.0|0.0|4187|952.0|47.6|681.0|37.833333333333336|25.0|56.0|25.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|147.0|1.0|2.0|2.0|21.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1451|capecitabine|Breast|1|NCT00493636|2010-09-30|160.0|39.0|1.0|4.0|2.0|1|0|0|1|0|1|1|18.0|99.0|44.0|1.0|2.0|2.0|4460|1112.0|52.95238095238095|720.0|37.89473684210526|26.0|60.0|27.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|147.0|1.0|2.0|2.0|23.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1580|capecitabine|Breast|1|NCT00741260|2010-11-30|105.0||3.0|3.0|7.0|1|0|0|1|0|1|1|18.0|99.0|37.0|0.0|2.0|1.0|4521|1217.0|55.31818181818182|720.0|37.89473684210526|29.0|63.0|34.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|147.0|1.0|2.0|2.0|24.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1532|capecitabine|Breast|1|NCT00977379|2011-02-28|24.0|18.0|2.0|13.0|2.0|1|0|0|0|0|1|0|18.0|99.0|16.0|0.0|2.0|1.0|4611|1241.0|53.95652173913044|738.0|36.9|31.0|76.0|36.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|147.0|1.0|2.0|2.0|25.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1478|capecitabine|Breast|1|NCT00777101|2011-03-31|233.0||1.0|6.0|2.0|1|0|0|1|0|1|0|18.0|99.0|152.0|0.0|2.0|2.0|4642|1474.0|61.416666666666664|738.0|36.9|32.0|82.0|38.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|152.0|1.0|2.0|2.0|26.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1517|capecitabine|Breast|1|NCT00468585|2011-04-30|62.0|71.0|1.0|0.0|1.0|1|0|0|1|0|1|1|18.0|99.0|5.0|1.0|2.0|2.0|4672|1536.0|61.44|809.0|38.523809523809526|33.0|82.0|39.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|152.0|1.0|2.0|2.0|27.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1442|capecitabine|Breast|1|NCT02846428|2011-12-31|182.0|94.0|1.0|12.0|2.0|1|0|0|0|0|1|0|18.0|70.0|21.0|0.0|0.0|0.0|4917|1718.0|66.07692307692308|903.0|41.04545454545455|34.0|94.0|41.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|152.0|1.0|2.0|2.0|28.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1533|capecitabine|Breast|1|NCT00967031|2012-02-29|45.0|34.0|1.0|7.0|1.0|1|0|1|0|0|1|1|18.0|99.0|1.0|1.0|2.0|2.0|4977|1763.0|65.29629629629629|937.0|40.73913043478261|35.0|101.0|42.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|152.0|1.0|2.0|2.0|29.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1569|capecitabine|Breast|1|NCT00347438|2013-03-31|18.0|79.0|4.0|0.0|1.0|1|0|0|1|0|1|0|18.0|99.0|3.0|1.0|2.0|0.0|5373|1781.0|63.607142857142854|1016.0|42.333333333333336|39.0|101.0|43.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|152.0|1.0|2.0|2.0|30.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1592|capecitabine|Breast|1|NCT00570908|2013-09-30|12.0|55.0|1.0|0.0|1.0|1|0|1|1|0|1|0|18.0|99.0|1.0|1.0|2.0|1.0|5556|1793.0|61.827586206896555|1071.0|42.84|40.0|101.0|44.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|152.0|1.0|2.0|2.0|31.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1527|capecitabine|Breast|1|NCT01234402|2013-10-31|153.0|31.0|1.0|12.0|3.0|1|0|0|1|0|1|1|18.0|99.0|23.0|1.0|2.0|1.0|5587|1946.0|64.86666666666666|1102.0|42.38461538461539|41.0|113.0|47.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|152.0|1.0|2.0|2.0|32.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1447|capecitabine|Breast|1|NCT02297230|2014-12-02|44.0|151.0|1.0|3.0|4.0|1|0|1|1|0|1|0|18.0|90.0|1.0|0.0|0.0|0.0|5984|1990.0|64.19354838709677|1253.0|46.407407407407405|42.0|116.0|51.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|152.0|1.0|2.0|2.0|33.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1519|capecitabine|Breast|1|NCT02120417|2016-02-29|149.0||3.0|4.0|2.0|1|0|0|1|0|1|0|18.0|99.0|107.0|0.0|2.0|1.0|6438|2139.0|66.84375|1253.0|46.407407407407405|45.0|120.0|53.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|152.0|1.0|2.0|2.0|34.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1541|capecitabine|Breast|1|NCT01702558|2017-05-31|182.0||5.0|29.0|4.0|1|0|0|0|0|1|1|18.0|99.0|40.0|0.0|2.0|2.0|6895|2321.0|70.33333333333333|1253.0|46.407407407407405|50.0|149.0|57.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|152.0|1.0|2.0|2.0|35.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1531|capecitabine|Breast|1|NCT00916578|2017-06-06|33.0||1.0|0.0|1.0|1|0|1|1|0|1|0|18.0|99.0|1.0|0.0|2.0|1.0|6901|2354.0|69.23529411764706|1253.0|46.407407407407405|51.0|149.0|58.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|152.0|1.0|2.0|2.0|36.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1595|capecitabine|Breast|1|NCT01891227|2018-03-15|40.0||1.0|6.0|1.0|1|0|0|0|0|1|0|18.0|99.0|8.0|1.0|2.0|1.0|7183|2394.0|68.4|1253.0|46.407407407407405|52.0|155.0|59.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|152.0|1.0|2.0|2.0|37.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1453|capecitabine|Breast|1|NCT01783444|2018-07-02|309.0||1.0|7.0|3.0|1|0|0|1|0|1|0|18.0|99.0|83.0|0.0|2.0|1.0|7292|2703.0|75.08333333333333|1253.0|46.407407407407405|53.0|162.0|62.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|152.0|1.0|2.0|2.0|38.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1448|capecitabine|Breast|1|NCT02000882|2019-03-29|10.0||1.0|4.0|1.0|1|0|1|1|0|1|0|18.0|99.0|1.0|0.0|0.0|0.0|7562|2713.0|73.32432432432432|1253.0|46.407407407407405|54.0|166.0|63.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|152.0|1.0|2.0|2.0|39.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1535|capecitabine|Breast|1|NCT03858972|2021-06-11|152.0||1.0|8.0|1.0|1|0|0|1|0|1|1|18.0|99.0|25.0|1.0|2.0|1.0|8367|2865.0|75.39473684210526|1253.0|46.407407407407405|55.0|174.0|64.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|152.0|1.0|2.0|2.0|40.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
1473|capecitabine|Breast|1|NCT02954055|2021-11-17|140.0||1.0|4.0|2.0|1|0|0|0|0|1|0|18.0|99.0|20.0|1.0|2.0|1.0|8526|3005.0|77.05128205128206|1253.0|46.407407407407405|56.0|178.0|66.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|120.0|152.0|1.0|2.0|2.0|41.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
7678|capecitabine|Colorectal (Oncology)|1|NCT00004187|2004-04-30||58.0|1.0|0.0|1.0|1|0|1|0|0|1|1|18.0|75.0|1.0|0.0|0.0|0.0|1781|||58.0|58.0|1.0|0.0|1.0|1.0|0.0|1.0|0.0|0.0|1.0|1.0|18.0|75.0|1.0|0.0|0.0|0.0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
7649|capecitabine|Colorectal (Oncology)|1|NCT00022698|2004-12-31|67.0|43.0|1.0|8.0|2.0|1|0|0|1|0|1|1|18.0|99.0|17.0|0.0|0.0|0.0|2026|67.0|67.0|101.0|50.5|2.0|8.0|3.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|17.0|0.0|0.0|0.0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
7662|capecitabine|Colorectal (Oncology)|1|NCT00087334|2005-11-30|10.0|22.0|2.0|4.0|1.0|1|0|1|1|0|1|1|18.0|80.0|1.0|0.0|0.0|0.0|2360|77.0|38.5|123.0|41.0|4.0|12.0|4.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|17.0|0.0|0.0|0.0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
7639|capecitabine|Colorectal (Oncology)|1|NCT00230399|2006-01-31|15.0|31.0|1.0|1.0|1.0|1|0|1|1|0|1|1|18.0|99.0|1.0|0.0|0.0|0.0|2422|92.0|30.666666666666668|154.0|38.5|5.0|13.0|5.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|17.0|0.0|0.0|0.0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
7665|capecitabine|Colorectal (Oncology)|1|NCT00070434|2006-02-28|0.0|18.0|1.0|0.0|3.0|1|0|0|0|0|1|1|18.0|99.0|1.0|0.0|0.0|0.0|2450|92.0|23.0|172.0|34.4|6.0|13.0|8.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|17.0|0.0|0.0|0.0|5.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
7698|capecitabine|Colorectal (Oncology)|1|NCT00081224|2006-02-28|3.0|14.0|1.0|7.0|1.0|1|0|0|0|0|1|1|18.0|99.0|1.0|1.0|2.0|1.0|2450|95.0|19.0|186.0|31.0|7.0|20.0|9.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|17.0|1.0|2.0|1.0|5.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
7677|capecitabine|Colorectal (Oncology)|1|NCT00123851|2006-08-31|32.0|41.0|1.0|2.0|1.0|1|0|0|1|0|1|1|18.0|99.0|3.0|0.0|0.0|0.0|2634|127.0|21.166666666666668|227.0|32.42857142857143|8.0|22.0|10.0|1.0|0.0|1.0|1.0|0.0|1.0|1.0|18.0|99.0|17.0|1.0|2.0|1.0|7.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
